scor	metoda	cale	titlu_local	->	titlu_youtube	id
0.00	none	CODIN&RAMO/Interviuri	Creative Monkeyz - Interviu	->		
0.00	none	RObotzi/Extras	PhooThay	->		
0.00	none	RObotzi/Sezonul 3	s03e19	->		
0.18	fuzzy	CODIN&RAMO/Conferinte	EECC 2015 Creative Monkeyz Panel - Part 2	->	Proiectul PUNCT #2 - LUMINILE!!!	vT8sECx8mjs
0.18	fuzzy	CODIN&RAMO/Conferinte	EECC 2015 Creative Monkeyz Panel - Part 3	->	Proiectul PUNCT #3 - Progrese	PXeVzNllJjA
0.18	fuzzy	CODIN&RAMO/Extras	Random AF1	->	DPS #1 - De Pe Stream: Random Clipe si Pedepse	rExmRZt_BwE
0.18	fuzzy	CODIN&RAMO/Interviuri	Interviu： Creative Monkeyz despre Gaming (HD 1080p)	->	Despre Conflictul din Siria	x9SS3XK2oMA
0.20	fuzzy	CODIN&RAMO/Conferinte	EECC 2015 Creative Monkeyz Panel - Part 1	->	IOBAGG - Battlefield 1	pCf7ZVoyKW4
0.20	fuzzy	CODIN&RAMO/Interviuri	Interviu： Creative Monkeyz despre IN GENERAL (HD 1080p)	->	DPS #4 - Reactie cu Avioane despre Sex in Nisip si Sunete Speciale	Y6JC2mu7i2g
0.20	fuzzy	CODIN&RAMO/Interviuri	Interviu： Creative Monkeyz despre RObotzi (HD 1080p)	->	Facem Jocul RObotzi!	-MSoZaGhBxc
0.22	fuzzy	CODIN&RAMO/Interviuri	Creative Monkeyz raspunde la intrebari	->	La Cafea 05 05 2016	hxO25TDzt-0
0.23	fuzzy	CODIN&RAMO/Interviuri	Jocuri video cu MO si F.O.C.A. [by Creative Monkeyz]	->	Q&A 4K    OFFICIAL MO SI FOCA ARATA CA OAMENI! Do you need a website?	-B-LsBZ7uvU
0.24	fuzzy	3lar/2013	01 - Pacific Rim, The Package, The Haunting in Connecticut 2	->	3LAR - Crawl 21: The World of Rim Bridges	jZAbV-iCUB4
0.25	fuzzy	CODIN&RAMO/Interviuri	de vorba cu Creative Monkeyz @ EECC 2014	->	3LAR - Godzilla si Arthur la un Glass de vorba	SAYCZ29j6s4
0.27	fuzzy	CODIN&RAMO/Interviuri	RObotzi si @CreativeMonkeyzArmy  la Observator @ Antena1	->	3LAR - Godzilla si Arthur la un Glass de vorba	SAYCZ29j6s4
0.29	fuzzy	CODIN&RAMO/Conferinte	Creative Monkeyz panel at East European Comic Con 2013	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.29	fuzzy	CODIN&RAMO/Extras	Istoria numelui Piramida - MiEZ (2011)	->	Piramida - KKTGRS	ciIo-ijDPbg
0.29	fuzzy	RObotzi/Songs	Misca-ti Placinta	->	CONCURS: IMAGINEAZA-TI ASTA!	Mui4yI2UqbQ
0.31	fuzzy	CODIN&RAMO/Conferinte	Ice Comic Con - Creative Monkeyz Panel Part 1	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.31	fuzzy	CODIN&RAMO/Conferinte	Ice Comic Con - Creative Monkeyz Panel Part 2	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.31	fuzzy	CODIN&RAMO/Conferinte	Ice Comic Con - Creative Monkeyz Panel Part 3	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.33	fuzzy	CODIN&RAMO/Conferinte	East European Comic Con 2016 - Creative Monkeyz	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.33	fuzzy	CODIN&RAMO/Interviuri	Interviu cu Codin de la Creative Monkeyz	->	La Cafea cu Bean (Subcarpati)	AhwTwlAJg_g
0.33	fuzzy	MiEZ	Miez El Iobag Dromadero	->	MiEZ Informativ	7Ntbk0HUzlE
0.36	fuzzy	CSP/Gameplay	Se poate face comeback？ - LOL cu Codin 	->	DePeStream - LOL cu SUSAN	LqOJVpCLwls
0.40	fuzzy	CODIN&RAMO/Conferinte	CreativeMonkeyz  la East European Comic Con 2018  part II i	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.40	fuzzy	CODIN&RAMO/PUNCT	02 - LUMINILE!!!	->	IOBAGGLIVE - RAID 02	MWXt4Ih2WZg
0.40	fuzzy	CODIN&RAMO/PUNCT	03 - Progrese	->	IOBAGG - WOLFENSTEIN 03	Q04ZJxeIo1g
0.43	fuzzy	CODIN&RAMO/Conferinte	CreativeMonkeyz  la East European Comic Con 2018  part I	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
0.44	fuzzy	CODIN&RAMO/Extras	La Cafea (Creative Monkeyz) - Instrumental	->	La Cafea 05 05 2016	hxO25TDzt-0
0.50	fuzzy	NinjaRamo/RFX	01 - Taieturi	->	RFX - Taieturi	RL_2S8eePoA
0.50	fuzzy	NinjaRamo/RFX	02 - Headshot	->	RFX - Headshot	SMxiP_7jP5Y
0.50	fuzzy	PIRAMIDA	02 - Dadada Dadada	->	Piramida - Dadada Dadada	BYIkZhfIC7c
0.50	fuzzy	PIRAMIDA	08 - #Cocainaucide	->	Piramida - #Cocainaucide	xNaREepZK2U
0.50	fuzzy	PIRAMIDA	12 - BORCANIE!	->	Piramida - BORCANIE!	3y1Q2dUtFGE
0.50	fuzzy	PIRAMIDA	13 - Graba	->	Piramida - Graba	8Rjo8cz0ZPc
0.50	fuzzy	PIRAMIDA	15 - ADiiiO!	->	Piramida - ADiiiO!	nfXRB1lEetk
0.50	fuzzy	PIRAMIDA	16 - Tratament	->	Piramida - Tratament	8h08FjhvSz0
0.50	fuzzy	PIRAMIDA	17 - Caldura	->	Piramida - Caldura	OXNhztwS5tQ
0.50	fuzzy	PIRAMIDA	18 - Beatbox	->	Piramida - Beatbox	AMzKDV0jYrY
0.50	fuzzy	PIRAMIDA	19 - Iubire	->	Piramida - Iubire	E_tXHqBG20U
0.50	fuzzy	PIRAMIDA	20 - Frica	->	Piramida - Frica	gpraZo-oUXc
0.50	fuzzy	PIRAMIDA	21 - Nostradamus	->	Piramida - Nostradamus	OXHyj3tljkY
0.50	fuzzy	PIRAMIDA	22 - Animalic	->	Piramida - Animalic	GBW893fHgvw
0.50	fuzzy	PIRAMIDA	23 - Fetele	->	Piramida - Fetele	JZDYfJTG7Q0
0.50	fuzzy	PIRAMIDA	24 - KKTGRS	->	Piramida - KKTGRS	ciIo-ijDPbg
0.50	fuzzy	RENDAM	[EN] Chameleon	->	Rendam - Chameleon	hPKDa-fvyzY
0.50	fuzzy	RENDAM	[EN] Full	->	Rendam - Full	ulvhCXo5OT8
0.50	fuzzy	RENDAM	[EN] Hook	->	Rendam - Hook	LmHy95d-4No
