3lar/2013/01 - Pacific Rim, The Package, The Haunting in Connecticut 2.mp4	0.84	HiCpA8cN7TM	3lr   Pacific Rim, The Package, The Haunting in Connecticut 2 60fps	Mihai Preda
CODIN&RAMO/Conferinte/Creative Monkeyz panel at East European Comic Con 2013.mp4	1.00	7Ye-8s1IMBw	Creative Monkeyz panel at East European Comic Con 2013	DaffysBellyWorm
CODIN&RAMO/Conferinte/CreativeMonkeyz  la East European Comic Con 2018  part I.mp4	1.00	5il-3sPz3HQ	CreativeMonkeyz  la East European Comic Con 2018  part I	Cata Calvin
CODIN&RAMO/Conferinte/CreativeMonkeyz  la East European Comic Con 2018  part II i.mp4	1.00	o3HFwrLr12g	CreativeMonkeyz  la East European Comic Con 2018  part II i	Cata Calvin
CODIN&RAMO/Conferinte/East European Comic Con 2016 - Creative Monkeyz.mp4	1.00	iNzFRQajfdk	East European Comic Con 2016 - Creative Monkeyz	Revista FiLM
CODIN&RAMO/Conferinte/EECC 2015 Creative Monkeyz Panel - Part 1.mp4	1.00	9WOtRwHDO94	EECC 2015 Panel Creative Monkeyz - Part 1	Alina Tudor
CODIN&RAMO/Conferinte/EECC 2015 Creative Monkeyz Panel - Part 2.mp4	1.00	VJ9MSpLVG1c	EECC 2015 Creative Monkeyz Panel - Part 2	Alina Tudor
CODIN&RAMO/Conferinte/EECC 2015 Creative Monkeyz Panel - Part 3.mp4	0.92	FlbQUVtmEJA	EECC Creative Monkeyz Panel - Part 3	Alina Tudor
CODIN&RAMO/Conferinte/Ice Comic Con - Creative Monkeyz Panel Part 1.mp4	1.00	pp0TmbJk8dU	Ice Comic Con - Creative Monkeyz Panel Part 1	Alina Tudor
CODIN&RAMO/Conferinte/Ice Comic Con - Creative Monkeyz Panel Part 2.mp4	1.00	7JzsD-NpjlA	Ice Comic Con - Creative Monkeyz Panel Part 2	Alina Tudor
CODIN&RAMO/Conferinte/Ice Comic Con - Creative Monkeyz Panel Part 3.mp4	1.00	UnXuoi8fWAk	Ice Comic Con - Creative Monkeyz Panel Part 3	Alina Tudor
CODIN&RAMO/Extras/Istoria numelui Piramida - MiEZ (2011).mp4	0.91	d8uHxb_Fsxw	Istoria numelui "Piramida" - MiEZ (2011) CreativeMonkeyz 	Cata Calvin
CODIN&RAMO/Extras/La Cafea (Creative Monkeyz) - Instrumental.mp4	1.00	hPVfQPUvD0s	La Cafea (Creative Monkeyz) - Instrumental	Dan Muntean
CODIN&RAMO/Extras/Random AF1.mp4	0.00	kL8IXsUnGOo	Custom Air Force 1 "Frags" review!!!	Solely Kadeem
CODIN&RAMO/Interviuri/Creative Monkeyz - Interviu.mp4	1.00	KHRQfCYcAik	Creative Monkeyz - Interviu	doipunctzeroTV
CODIN&RAMO/Interviuri/Creative Monkeyz raspunde la intrebari.mp4	1.00	6vNxZHX4uoc	Creative Monkeyz raspunde la intrebari	Piramida tv
CODIN&RAMO/Interviuri/de vorba cu Creative Monkeyz @ EECC 2014.mp4	1.00	fA-LutZ6qEQ	de vorba cu Creative Monkeyz @ EECC 2014	GameX TV
CODIN&RAMO/Interviuri/Interviu cu Codin de la Creative Monkeyz.mp4	1.00	-T5LDKU3zr8	Interviu cu Codin de la Creative Monkeyz	Hyperflash TV
CODIN&RAMO/Interviuri/Interviu： Creative Monkeyz despre Gaming (HD 1080p).mp4	1.00	MRe94pOK0k8	Interviu: Creative Monkeyz despre Gaming (HD 1080p)	GameX TV
CODIN&RAMO/Interviuri/Interviu： Creative Monkeyz despre IN GENERAL (HD 1080p).mp4	1.00	a61h9V5PBtw	Interviu: Creative Monkeyz despre IN GENERAL (HD 1080p)	GameX TV
CODIN&RAMO/Interviuri/Interviu： Creative Monkeyz despre RObotzi (HD 1080p).mp4	1.00	vOP44vXcXhg	Interviu: Creative Monkeyz despre RObotzi (HD 1080p)	GameX TV
CODIN&RAMO/Interviuri/Jocuri video cu MO si F.O.C.A. [by Creative Monkeyz].mp4	1.00	mQgixMjxJd8	Jocuri video cu MO si F.O.C.A. [by Creative Monkeyz]	GameX TV
CODIN&RAMO/Interviuri/RObotzi si @CreativeMonkeyzArmy  la Observator @ Antena1.mp4	1.00	Alezk1f9ZLs	RObotzi si @CreativeMonkeyzArmy  la Observator @ Antena1	Cosmin Grigore - PhotoshopTutsRO
CSP/Gameplay/Se poate face comeback？ - LOL cu Codin .mp4	0.93	kk5VNL3RnoA	Se poate face comeback? - LOL cu Codin @CreativeMonkeyzArmy	CreativeMonkeyzClips
MiEZ/Miez El Iobag Dromadero.mp4	0.80	BHUeUwKn86s	Creative Monkeyz - Miez - El Iobag Dromadero	Robert's Visuals
RObotzi/Extras/PhooThay.mp4	0.25	N8V6XVh8FsY	15 RObotzi S03 Stilul PhooThay video educativ14   15	vreauSiEuOprietena
RObotzi/Sezonul 3/s03e19.mp4	0.00	RdHws-cvMoA	Ep.3: What not to do to stay single on Valentine's Day	Doi Degeaba
RObotzi/Songs/Misca-ti Placinta.mp4	0.86	hFBwEMoemGk	RObotzi - Misca-ti placinta	Dunca Bogdan
